GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.read,Read,2,199,2,6,1,40,2,10,0,8
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow,ValidCurrentStateCheckBase,0,168,0,14,0,30,0,17,0,10
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow,ExceptionMapper,0,92,0,16,0,25,0,13,0,5
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow,TagUtils,47,116,10,12,8,31,7,14,0,10
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.list,List,1,120,1,1,0,31,1,9,0,9
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.create,Create,0,116,0,0,0,24,0,6,0,6
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.delete,Delete,0,104,0,2,0,23,0,7,0,6
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.delete,ValidCurrentStateCheck,0,24,0,0,0,6,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,ListHandler,0,19,0,0,0,3,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,CallbackContext,0,6,0,0,0,2,0,1,0,1
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,ClientBuilder,0,10,0,0,0,4,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,UpdateHandler,0,59,0,0,0,7,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,ReadHandler,0,19,0,0,0,3,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,CreateHandler,0,29,0,0,0,4,0,2,0,2
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,DeleteHandler,0,34,0,0,0,5,0,3,0,3
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect,Configuration,0,4,0,0,0,2,0,1,0,1
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.update,DeleteTags,5,110,0,2,1,23,1,6,1,5
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.update,CreateTags,5,110,0,2,1,23,1,6,1,5
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.update,ValidPropertiesCheck,61,147,4,8,6,30,3,9,0,6
aws-ec2-transitgatewayconnect-handler,software.amazon.ec2.transitgatewayconnect.workflow.update,ValidCurrentStateCheck,0,19,0,0,0,5,0,2,0,2
