GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,UpdateHandler,0,59,0,0,0,7,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,ClientBuilder,0,10,0,0,0,4,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,Configuration,0,4,0,0,0,2,0,1,0,1
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,CreateHandler,0,29,0,0,0,4,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,ListHandler,0,19,0,0,0,3,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,ReadHandler,0,19,0,0,0,3,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,CallbackContext,0,6,0,0,0,2,0,1,0,1
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment,DeleteHandler,0,34,0,0,0,5,0,3,0,3
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow,TagUtils,0,96,0,6,0,26,0,12,0,9
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow,ExceptionMapper,0,92,0,16,0,25,0,13,0,5
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow,ValidCurrentStateCheckBase,0,167,0,14,0,30,0,17,0,10
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.read,Read,2,212,2,6,1,45,2,10,0,8
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.create,Create,1,119,2,2,0,25,2,6,0,6
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.update,DeleteTags,5,106,0,2,1,23,1,6,1,5
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.update,CreateTags,5,106,0,2,1,23,1,6,1,5
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.update,ValidCurrentStateCheck,0,24,0,0,0,6,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.update,ValidPropertiesCheck,28,143,3,9,3,29,3,9,0,6
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.delete,Delete,0,104,0,2,0,23,0,7,0,6
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.delete,ValidCurrentStateCheck,0,29,0,0,0,7,0,2,0,2
aws-ec2-transitgatewaypeeringattachment-handler,software.amazon.ec2.transitgatewaypeeringattachment.workflow.list,List,1,120,1,1,0,31,1,9,0,9
